TIME,V(OUT),V(IN)
8.20560652e-10,7.31228048e-01,0.00000000e+00
8.20698156e-10,7.54469208e-01,0.00000000e+00
8.20835660e-10,7.74952856e-01,0.00000000e+00
8.20973164e-10,7.92849836e-01,0.00000000e+00
8.21110668e-10,8.08359795e-01,0.00000000e+00
8.21248172e-10,8.21705282e-01,0.00000000e+00
8.21523180e-10,8.42916106e-01,0.00000000e+00
8.21798188e-10,8.58194161e-01,0.00000000e+00
8.22073196e-10,8.69176686e-01,0.00000000e+00
8.22348204e-10,8.77130165e-01,0.00000000e+00
8.22898220e-10,8.87391164e-01,0.00000000e+00
8.23998252e-10,8.96484310e-01,0.00000000e+00
8.26198316e-10,9.00203226e-01,0.00000000e+00
8.28178373e-10,8.99981285e-01,0.00000000e+00
8.30158430e-10,9.00005312e-01,0.00000000e+00
8.32138487e-10,8.99999080e-01,0.00000000e+00
8.36098602e-10,8.99999653e-01,0.00000000e+00
8.44018831e-10,8.99999462e-01,0.00000000e+00
8.59859290e-10,8.99999568e-01,0.00000000e+00
8.89859290e-10,8.99999492e-01,0.00000000e+00
9.19859290e-10,8.99999551e-01,0.00000000e+00
9.49859290e-10,8.99999507e-01,0.00000000e+00
9.79859290e-10,8.99999537e-01,0.00000000e+00
1.00000000e-09,8.99999521e-01,9.30578189e-15
